cliente_id,cliente,dni,email,ciudad,pais,tienda,estado,cantidad_ventas,total_vendido
526,KARL SEAL,40000526,KARL.SEAL@sakilacustomer.org,Cape Coral,United States,2,activo,45,221.55
148,ELEANOR HUNT,40000148,ELEANOR.HUNT@sakilacustomer.org,Saint-Denis,Réunion,1,activo,46,216.54
144,CLARA SHAW,40000144,CLARA.SHAW@sakilacustomer.org,Molodetšno,Belarus,1,activo,42,195.58
137,RHONDA KENNEDY,40000137,RHONDA.KENNEDY@sakilacustomer.org,Apeldoorn,Netherlands,2,activo,39,194.61
178,MARION SNYDER,40000178,MARION.SNYDER@sakilacustomer.org,Santa Bárbara d´Oeste,Brazil,2,activo,39,194.61
459,TOMMY COLLAZO,40000459,TOMMY.COLLAZO@sakilacustomer.org,Qomsheh,Iran,1,activo,38,186.62
469,WESLEY BULL,40000469,WESLEY.BULL@sakilacustomer.org,Ourense (Orense),Spain,2,activo,40,177.6
468,TIM CARY,40000468,TIM.CARY@sakilacustomer.org,Bijapur,India,1,activo,39,175.61
236,MARCIA DEAN,40000236,MARCIA.DEAN@sakilacustomer.org,Tanza,Philippines,1,activo,42,175.58
181,ANA BRADLEY,40000181,ANA.BRADLEY@sakilacustomer.org,Memphis,United States,2,activo,34,174.66
176,JUNE CARROLL,40000176,JUNE.CARROLL@sakilacustomer.org,Skikda,Algeria,1,activo,37,173.63
50,DIANE COLLINS,40000050,DIANE.COLLINS@sakilacustomer.org,Omdurman,Sudan,1,activo,35,169.65
259,LENA JENSEN,40000259,LENA.JENSEN@sakilacustomer.org,Halisahar,India,2,activo,32,168.68
522,ARNOLD HAVENS,40000522,ARNOLD.HAVENS@sakilacustomer.org,Santa Rosa,Philippines,2,activo,33,167.67
410,CURTIS IRBY,40000410,CURTIS.IRBY@sakilacustomer.org,Richmond Hill,Canada,2,activo,38,167.62
403,MIKE WAY,40000403,MIKE.WAY@sakilacustomer.org,Valparai,India,1,activo,35,166.65
295,DAISY BATES,40000295,DAISY.BATES@sakilacustomer.org,Kolpino,Russian Federation,1,activo,38,162.62
209,TONYA CHAPMAN,40000209,TONYA.CHAPMAN@sakilacustomer.org,Bhilwara,India,2,activo,32,161.68
373,LOUIS LEONE,40000373,LOUIS.LEONE@sakilacustomer.org,Tanauan,Philippines,1,activo,35,161.65
470,GORDON ALLARD,40000470,GORDON.ALLARD@sakilacustomer.org,Hodeida,Yemen,1,activo,32,160.68
187,BRITTANY RILEY,40000187,BRITTANY.RILEY@sakilacustomer.org,Sumy,Ukraine,2,activo,28,159.72
550,GUY BROWNLEE,40000550,GUY.BROWNLEE@sakilacustomer.org,Zhoushan,China,2,activo,32,159.68
462,WARREN SHERROD,40000462,WARREN.SHERROD@sakilacustomer.org,Usolje-Sibirskoje,Russian Federation,2,activo,33,159.67
267,MARGIE WADE,40000267,MARGIE.WADE@sakilacustomer.org,Lengshuijiang,China,1,activo,36,159.64
